2017-12-28 09:34:41	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected 'as' (T_AS) (line 172 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:34:53	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected 'as' (T_AS) (line 172 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:35:41	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected ':' (line 172 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:39:31	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected 'echo' (T_ECHO) (line 174 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:45:33	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected '<' (line 178 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2017-12-28 09:45:59	mijo	https://deqoda.com/	Parse Error: 	syntax error, unexpected '<' (line 178 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2018-01-08 11:38:23	mijo	https://www.deqoda.com/contribute/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 163 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/contrib.php)
2018-01-08 11:39:15	mijo	https://www.deqoda.com/contribute/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 164 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/contrib.php)
2018-01-08 11:39:54	mijo	https://www.deqoda.com/contribute/	Parse Error: 	syntax error, unexpected 'endforeach' (T_ENDFOREACH), expecting end of file (line 164 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/contrib.php)
2018-01-08 11:39:55	mijo	https://www.deqoda.com/contribute/	Parse Error: 	syntax error, unexpected 'endforeach' (T_ENDFOREACH), expecting end of file (line 164 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/contrib.php)
2018-01-08 11:40:14	mijo	https://www.deqoda.com/contribute/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 166 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/contrib.php)
2018-01-19 07:24:58	guest	https://www.deqoda.com/	Compile Error: 	require(): Failed opening required 'phar://guzzle.phar/autoloader.php' (include_path='.:/usr/share/php') (line 3 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/js/guzzle.phar)
2018-01-19 07:26:52	guest	https://www.deqoda.com/	Error: 	Uncaught Error: Call to a member function notifyError() on null in /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php:346 Stack trace: #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/TemplateFile.php(268): require() #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___render', Array) #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /customers/0/2/c/deqoda.com/httpd.www/wire/modules/PageRender.module(514): ProcessWire\Wire->__call('render', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /customers/0/2/c/deqoda.com/httpd.www (line 346 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2018-01-19 07:27:03	guest	https://www.deqoda.com/	Error: 	Uncaught Error: Call to a member function notifyError() on null in /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php:346 Stack trace: #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/TemplateFile.php(268): require() #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___render', Array) #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /customers/0/2/c/deqoda.com/httpd.www/wire/modules/PageRender.module(514): ProcessWire\Wire->__call('render', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /customers/0/2/c/deqoda.com/httpd.www (line 346 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2018-01-19 07:27:20	guest	https://www.deqoda.com/	Error: 	Uncaught Error: Call to a member function notifyError() on null in /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php:346 Stack trace: #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/TemplateFile.php(268): require() #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___render', Array) #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /customers/0/2/c/deqoda.com/httpd.www/wire/modules/PageRender.module(514): ProcessWire\Wire->__call('render', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /customers/0/2/c/deqoda.com/httpd.www (line 346 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
2018-01-19 07:27:24	guest	https://www.deqoda.com/	Error: 	Uncaught Error: Call to a member function notifyError() on null in /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php:346 Stack trace: #0 /customers/0/2/c/deqoda.com/httpd.www/wire/core/TemplateFile.php(268): require() #1 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(380): ProcessWire\TemplateFile->___render() #2 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___render', Array) #3 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #4 /customers/0/2/c/deqoda.com/httpd.www/wire/modules/PageRender.module(514): ProcessWire\Wire->__call('render', Array) #5 /customers/0/2/c/deqoda.com/httpd.www/wire/core/Wire.php(383): ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #6 /customers/0/2/c/deqoda.com/httpd.www/wire/core/WireHooks.php(698): ProcessWire\Wire->_callMethod('___renderPage', Array) #7 /customers/0/2/c/deqoda.com/httpd.www (line 346 of /customers/0/2/c/deqoda.com/httpd.www/site/templates/home.php)
